State,Income,Crime Index,Population,Region
Johor,7264,7350,4009.7,West Malaysia
Kedah,5005,4131,2131.4,West Malaysia
Kelantan,4411,2531,1792.5,West Malaysia
Melaka,7186,1794,998.4,West Malaysia
Negeri Sembilan,6184,2431,1200,West Malaysia
Pahang,5144,2331,1591.3,West Malaysia
Perak,5081,3388,2496,West Malaysia
Perlis,4971,493,284.9,West Malaysia
Pulau Pinang,6850,3853,1740.4,West Malaysia
Sabah,5215,3799,3418.8,East Malaysia
Sarawak,5087,5850,2453.7,East Malaysia
Selangor,9668,17272,6994.4,West Malaysia
Terengganu,6051,2099,1149.4,West Malaysia
Kuala Lumpur,11728,8301,1982.1,West Malaysia
Putrajaya,12322,,,West Malaysia